,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
57,Hithadhoo,100,MV,1555949623,81,-0.6,73.08,83.21,16.6
58,Fortuna,75,ES,1555949607,67,38.18,-1.13,66.2,5.82
59,Hualmay,85,PE,1555949623,95,-11.1,-77.61,67.91,8.86
60,Kapaa,40,US,1555949304,78,22.08,-159.32,73.4,13.87
61,Nanortalik,100,GL,1555949516,72,60.14,-45.24,32.63,33.93
62,Nyimba,66,ZM,1555949624,39,-14.56,30.81,86.63,4.83
63,Vardo,90,US,1555949609,63,39.62,-77.74,64.99,9.17
64,Vila Velha,40,BR,1555949292,66,-3.71,-38.6,86.0,16.11
65,Malayal,20,PH,1555945200,88,7.21,121.94,80.6,4.7
66,Yellowknife,75,CA,1555945200,64,62.45,-114.38,35.6,12.75
67,Qaanaaq,100,GL,1555949625,88,77.48,-69.36,-4.09,1.48
68,Saint George,20,GR,1555949007,67,39.45,22.34,64.4,11.41
69,Coxim,100,BR,1555949625,75,-18.5,-54.75,82.49,3.8
70,Puerto Madryn,88,AR,1555949625,36,-42.77,-65.04,67.55,21.3
71,Padang,40,ID,1555945200,94,-0.92,100.36,78.8,1.12
72,Houma,1,CN,1555949626,84,35.63,111.36,58.01,2.8
73,Saint-Philippe,1,CA,1555949616,67,45.36,-73.48,60.01,5.82
74,Rome,90,IT,1555949467,77,41.89,12.48,64.4,5.82
75,Mar del Plata,97,AR,1555949406,36,-46.43,-67.52,61.79,8.84
76,Puerto Ayora,75,EC,1555948824,83,-0.74,-90.35,80.6,8.05
77,Port Alfred,100,ZA,1555949525,96,-33.59,26.89,62.01,5.99
78,Busselton,23,AU,1555949426,68,-33.64,115.35,51.01,12.55
79,Tuatapere,0,NZ,1555949405,96,-46.13,167.69,45.0,8.97
80,Sinnamary,41,GF,1555949627,79,5.38,-52.96,81.59,12.84
81,Paamiut,100,GL,1555949627,92,61.99,-49.67,32.09,4.23
82,Muhoroni,75,KE,1555945200,69,-0.16,35.19,77.0,13.87
83,Phonhong,75,LA,1555947000,78,18.5,102.42,78.8,6.93
84,Saint-Augustin,0,FR,1555949528,40,44.83,-0.61,70.0,18.34
85,Tautira,59,PF,1555949589,78,-17.73,-149.15,78.8,5.82
86,Avarua,99,CK,1555947000,60,-21.21,-159.78,75.2,6.93
87,Kikwit,100,CD,1555949628,44,-5.04,18.82,88.97,2.84
88,Sitka,0,US,1555948882,72,37.17,-99.65,57.0,17.0
89,Beloha,0,MG,1555949629,76,-25.17,45.06,77.45,13.24
90,Jasper,0,US,1555949543,44,33.83,-87.28,77.0,3.62
91,Bluff,7,AU,1555949629,82,-23.58,149.07,68.63,12.97
92,Luderitz,0,NA,1555949630,61,-26.65,15.16,63.95,21.21
93,Iqaluit,75,CA,1555949568,70,63.75,-68.52,1.0,11.41
94,Souillac,0,FR,1555949528,42,45.6,-0.6,68.0,13.87
95,Hermanus,6,ZA,1555948923,78,-34.42,19.24,69.01,18.01
96,Upernavik,91,GL,1555949630,95,72.79,-56.15,-0.86,12.37
97,Richards Bay,98,ZA,1555949630,80,-28.77,32.06,73.13,11.41
98,Atraulia,40,IN,1555947000,65,26.33,82.95,78.8,9.17
99,Zhigansk,69,RU,1555949631,82,66.77,123.37,16.07,6.98
100,Uvalde,40,US,1555949516,88,29.21,-99.79,73.4,12.75
101,Dikson,100,RU,1555949631,93,73.51,80.55,28.49,10.98
102,Gushikawa,75,JP,1555949593,83,26.35,127.87,75.2,11.41
103,Salym,59,RU,1555949631,91,60.06,71.48,37.85,6.38
104,Broken Hill,45,AU,1555945200,48,-31.97,141.45,60.8,13.87
105,Lakatoro,48,VU,1555945200,100,-16.11,167.42,77.0,3.36
106,Thompson,40,CA,1555945200,74,55.74,-97.86,35.6,3.36
107,Njeru,97,UG,1555949632,88,0.43,33.15,72.41,2.57
108,Cherskiy,3,RU,1555949632,67,68.75,161.3,10.49,10.29
109,Kingaroy,90,AU,1555949416,93,-26.54,151.84,64.4,8.05
110,Necochea,2,AR,1555949422,55,-38.55,-58.74,62.87,4.74
111,Laguna,75,MX,1555944240,64,27.52,-110.01,71.6,10.29
112,Narsaq,75,GL,1555948200,30,60.91,-46.05,42.8,16.11
113,Nikolskoye,0,RU,1555949437,33,59.7,30.79,60.01,6.71
114,Mitu,98,IR,1555949634,75,36.2,46.09,39.47,7.36
115,Nemuro,2,JP,1555949634,72,43.32,145.57,40.37,9.42
116,Kaeo,3,NZ,1555949376,100,-35.1,173.78,53.01,6.93
117,Quatre Cocos,75,MU,1555949343,88,-20.21,57.76,80.6,8.05
118,Namatanai,78,PG,1555949634,85,-3.66,152.44,77.99,2.57
119,Atuona,34,PF,1555949635,79,-9.8,-139.03,82.85,15.1
120,Sassandra,82,CI,1555949635,57,4.95,-6.09,90.41,6.29
121,Obo,49,CF,1555949635,15,5.39,26.49,97.61,3.24
122,Banepa,40,NP,1555948200,82,27.63,85.52,64.4,3.36
123,Mehamn,75,NO,1555944600,80,71.03,27.85,41.0,13.87
124,Juneau,90,US,1555949043,93,58.3,-134.42,42.8,14.99
125,Abu Samrah,0,SY,1555949636,48,35.3,37.18,57.65,18.95
126,Dzerzhinsk,0,RU,1555948868,49,56.24,43.46,64.99,8.95
127,Lovington,1,US,1555949166,72,32.94,-103.35,64.99,8.05
128,Korsor,0,DK,1555949059,46,55.33,11.14,57.2,16.11
129,Te Anau,1,NZ,1555949636,88,-45.41,167.72,42.53,3.22
130,Marsa Matruh,20,EG,1555945200,59,31.35,27.25,64.4,9.17
131,Cabo San Lucas,75,MX,1555949421,38,22.89,-109.91,81.0,14.99
132,Carnarvon,42,ZA,1555949637,45,-30.97,22.13,63.23,24.27
133,Waipawa,100,NZ,1555949117,94,-39.94,176.59,54.0,0.76
134,Arman,100,RU,1555949637,95,59.7,150.17,25.25,5.55
135,Marsabit,97,KE,1555949637,33,2.34,37.99,96.53,9.35
136,Nishihara,75,JP,1555949621,67,35.74,139.53,66.99,12.75
137,Chuy,99,UY,1555949637,65,-33.69,-53.46,61.25,11.27
138,Mahebourg,75,MU,1555949343,88,-20.41,57.7,80.6,8.05
139,Qaqortoq,75,GL,1555944600,33,60.72,-46.03,42.8,12.75
140,Geraldton,75,CA,1555945200,55,49.72,-86.95,39.2,8.05
141,Aklavik,40,CA,1555945200,84,68.22,-135.01,14.0,13.87
142,Mackenzie,90,CA,1555947600,93,55.34,-123.09,37.4,11.41
143,Jiwani,0,PK,1555949638,79,25.05,61.74,80.69,14.7
144,Mandalgovi,58,MN,1555949639,42,45.76,106.27,45.77,13.69
145,Jaguariaiva,100,BR,1555949582,87,-24.25,-49.71,75.0,1.01
146,Arica,40,CL,1555945200,82,-18.48,-70.32,62.6,3.36
147,Cidreira,35,BR,1555949639,57,-30.17,-50.22,70.79,6.98
148,Codrington,40,AU,1555949139,93,-28.95,153.24,69.8,1.79
149,San Rafael del Sur,20,NI,1555945200,51,11.85,-86.44,86.0,11.41
150,Ruwi,40,OM,1555944600,55,23.6,58.55,89.6,4.7
151,Mto wa Mbu,77,TZ,1555949640,49,-3.38,35.86,79.43,7.27
152,Cap Malheureux,75,MU,1555949343,88,-19.98,57.61,80.6,8.05
153,Makinsk,96,KZ,1555949640,58,52.63,70.42,43.43,5.37
154,Krosno,0,PL,1555949388,33,49.69,21.77,61.0,26.4
155,Dingle,24,PH,1555949641,59,11.0,122.67,77.99,6.85
156,Svetlogorsk,75,RU,1555947000,34,53.14,59.15,48.2,2.24
157,Surin,51,TH,1555947000,88,14.88,103.49,77.0,5.82
158,Clyde River,40,CA,1555945200,76,70.47,-68.59,-5.81,3.36
159,Norfolk,75,US,1555949524,59,36.85,-76.29,68.0,5.82
160,Zhanaozen,14,KZ,1555949642,29,43.35,52.85,55.49,10.98
161,Meulaboh,60,ID,1555949642,75,4.14,96.13,83.75,2.33
162,Deogarh,12,IN,1555949642,20,21.53,84.72,86.63,2.26
163,East London,90,ZA,1555945980,88,-33.02,27.91,62.6,13.87
164,Daru,43,SL,1555949642,33,7.99,-10.85,100.13,1.95
165,Lebu,100,ET,1555949643,61,8.96,38.73,68.63,5.35
166,Faanui,55,PF,1555949643,74,-16.48,-151.75,83.75,8.75
167,Barrow,0,AR,1555949643,45,-38.31,-60.23,64.13,5.37
168,Kaohsiung,75,TW,1555949144,83,22.62,120.31,82.4,3.36
169,Arraial do Cabo,0,BR,1555948800,74,-22.97,-42.02,89.6,9.17
170,Nouakchott,0,MR,1555947000,47,18.08,-15.98,78.8,20.8
171,Timmins,90,CA,1555945740,92,48.48,-81.33,30.2,8.05
172,Guanare,100,VE,1555949644,74,9.04,-69.74,77.45,2.15
173,Alofi,75,NU,1555945200,73,-19.06,-169.92,77.0,18.34
174,Chicama,0,PE,1555945200,73,-7.84,-79.15,73.4,9.17
175,Flinders,40,AU,1555949575,93,-34.58,150.85,68.0,11.41
176,Zabol,75,IR,1555945200,42,31.03,61.49,80.6,6.93
177,Benguela,100,AO,1555949645,81,-12.58,13.4,79.61,11.56
178,Constitucion,75,MX,1555949417,20,23.99,-104.67,73.99,11.41
179,Eydhafushi,0,MV,1555949645,72,5.1,73.07,85.55,12.46
180,Hudson Bay,60,CA,1555949645,52,52.86,-102.4,48.65,3.78
181,Dwarka,0,IN,1555947907,27,28.58,77.04,93.99,4.7
182,Cowra,75,AU,1555948902,89,-33.84,148.69,55.99,13.27
183,Panjakent,34,UZ,1555947000,87,39.5,67.61,50.0,13.87
184,Muzhi,100,RU,1555949646,86,65.4,64.7,37.31,9.91
185,Cape Town,20,ZA,1555949573,53,-33.93,18.42,73.99,19.46
186,Livingston,1,US,1555948855,40,32.58,-88.19,73.99,2.37
187,Dhidhdhoo,52,MV,1555949647,72,6.88,73.1,85.37,10.94
188,Koutsouras,25,GR,1555948950,51,35.03,25.95,61.0,11.99
189,Maningrida,26,AU,1555949647,76,-12.05,134.23,77.81,9.66
190,Rajanpur,0,PK,1555949648,11,29.1,70.33,100.67,5.68
191,Grand-Lahou,94,CI,1555949648,43,5.24,-5.0,95.63,5.37
192,Saskylakh,73,RU,1555949648,90,71.97,114.09,4.37,7.07
193,Khatanga,100,RU,1555949648,94,71.98,102.47,18.77,9.84
194,Turukhansk,100,RU,1555949649,91,65.8,87.96,34.07,20.62
195,Tazmalt,75,DZ,1555949436,88,36.39,4.4,64.4,5.82
196,Sabha,1,LY,1555949649,5,27.03,14.43,98.69,16.11
197,Balkanabat,100,TM,1555949649,33,39.51,54.36,64.13,14.23
198,Buin,31,CL,1555949373,59,-33.73,-70.74,64.99,4.7
199,Port Blair,54,IN,1555949650,70,11.67,92.75,85.91,7.9
200,Severo-Kurilsk,100,RU,1555949650,88,50.68,156.12,33.53,19.69
201,Contai,38,IN,1555949617,62,21.78,87.75,85.37,8.93
202,Sokolo,28,ML,1555949650,8,14.74,-6.12,104.81,5.68
203,Ushirombo,89,TZ,1555949650,86,-3.47,31.9,72.95,4.14
204,Las Tejeras,0,ES,1555949625,72,37.96,-1.09,66.2,6.93
205,Sao Jose da Coroa Grande,94,BR,1555949651,54,-8.9,-35.15,89.15,8.41
206,Ostrovnoy,97,RU,1555949651,81,68.05,39.51,38.57,16.42
207,Eldama Ravine,75,KE,1555945200,68,0.05,35.72,69.8,9.17
208,Aitape,100,PG,1555949652,83,-3.15,142.36,79.25,3.78
209,Georgetown,40,GY,1555945200,70,6.8,-58.16,89.6,11.41
210,Avon Lake,90,US,1555949643,58,41.51,-82.02,61.0,6.4
211,Kloulklubed,75,PW,1555944600,78,7.04,134.26,80.6,11.41
212,San Carlos de Bariloche,40,AR,1555945200,53,-41.13,-71.31,51.8,4.97
213,Sao Filipe,65,CV,1555949653,82,14.9,-24.5,70.97,19.39
214,Leningradskiy,89,RU,1555949653,88,69.38,178.42,-0.5,8.97
215,Ilulissat,75,GL,1555948200,86,69.22,-51.1,26.6,12.75
216,Shubarshi,61,KZ,1555949654,34,48.59,57.19,51.89,5.28
217,Nawabganj,0,IN,1555949654,20,26.86,82.14,91.67,5.08
218,Roald,0,NO,1555948919,58,62.58,6.12,69.8,8.05
219,Norrtalje,0,SE,1555949582,38,59.76,18.7,66.0,17.22
220,Sohagpur,94,IN,1555949537,12,22.7,78.2,96.35,5.97
221,Klaksvik,92,FO,1555948200,87,62.23,-6.59,50.0,12.75
222,Fare,69,PF,1555949655,78,-16.7,-151.02,83.03,10.94
223,Pevek,0,RU,1555949655,84,69.7,170.27,-2.3,4.23
224,Rawson,84,AR,1555949370,36,-43.3,-65.11,65.39,18.95
225,Fort Nelson,90,CA,1555945200,59,58.81,-122.69,37.4,3.36
226,Fort-Shevchenko,0,KZ,1555949655,56,44.51,50.26,47.39,17.81
227,Saldanha,97,PT,1555949656,42,41.42,-6.55,66.29,14.09
228,Nador,20,MA,1555947000,60,35.17,-2.93,69.8,14.99
229,Ludinghausen,0,DE,1555949599,28,51.77,7.47,75.99,21.92
230,Shishou,17,CN,1555949656,79,29.72,112.42,67.91,3.31
231,Requena,75,ES,1555949646,72,39.49,-1.1,62.6,4.7
232,Kahului,75,US,1555949451,69,20.89,-156.47,75.2,19.46
233,Kailua,20,US,1555949591,73,21.39,-157.74,73.99,11.41
234,Ziro,100,IN,1555949656,92,27.54,93.82,47.39,3.13
235,Cabedelo,75,BR,1555945200,70,-6.97,-34.84,86.0,10.29
236,Dengzhou,2,CN,1555949657,92,32.69,112.08,59.99,2.62
237,Matamoros,75,US,1555949608,65,25.87,-97.51,80.01,25.28
238,Torbay,90,CA,1555949247,100,47.66,-52.73,55.0,18.34
239,Cayenne,90,GF,1555947000,70,4.94,-52.33,86.0,11.41
240,Plettenberg Bay,99,ZA,1555949658,78,-34.05,23.37,62.69,8.01
241,Isabela,32,PH,1555949658,64,10.2,122.99,82.13,6.08
242,Oussouye,0,SN,1555945200,61,12.49,-16.54,93.2,9.17
243,Aykhal,0,RU,1555945200,48,65.95,111.51,17.6,4.47
244,Salaverry,0,PE,1555945200,73,-8.22,-78.98,73.4,9.17
245,Ganzhou,100,CN,1555949658,94,25.86,114.93,73.13,1.54
246,Fethiye,0,TR,1555949610,49,36.62,29.12,70.0,12.75
247,Sola,0,FI,1555949226,46,62.78,29.36,54.0,4.7
248,Guarapari,20,BR,1555949083,49,-20.67,-40.5,91.4,8.05
249,Puerto Colombia,40,CO,1555948911,66,10.99,-74.96,86.0,9.17
250,Tual,74,ID,1555949659,75,-5.67,132.75,85.73,15.17
251,Itacoatiara,40,BR,1555945200,88,-3.14,-58.44,78.8,4.7
252,Creel,92,MX,1555949659,33,27.75,-107.63,55.31,8.3
253,Boa Vista,75,BR,1555948800,38,2.82,-60.67,93.2,9.17
254,Beyneu,0,KZ,1555949662,29,45.32,55.19,57.47,8.1
255,Honiara,75,SB,1555945200,100,-9.43,159.96,77.0,4.41
256,Havre-Saint-Pierre,1,CA,1555945200,60,50.23,-63.6,42.8,10.29
257,Kavieng,71,PG,1555949662,67,-2.57,150.8,84.11,3.15
258,Berlevag,75,NO,1555944600,64,70.86,29.09,41.0,21.92
259,Beringovskiy,55,RU,1555949662,93,63.05,179.32,0.23,5.26
260,Srednekolymsk,98,RU,1555949663,82,67.46,153.71,28.13,7.09
261,Xinzhou,71,CN,1555949663,62,38.41,112.73,62.69,4.18
262,San Miguel,0,AR,1555949433,59,-34.54,-58.72,69.01,5.82
263,Pitimbu,75,BR,1555945200,70,-7.47,-34.81,86.0,10.29
264,Saint-Francois,0,FR,1555948936,27,46.42,3.91,75.2,4.7
265,Le Vauclin,75,MQ,1555949413,55,14.55,-60.84,86.0,16.11
266,Madawaska,1,CA,1555949578,54,47.36,-68.32,57.0,9.17
267,Vila Franca do Campo,20,PT,1555949662,59,37.72,-25.43,60.8,17.22
268,Kandi,93,BJ,1555949665,26,11.13,2.93,101.57,4.32
269,Junin,20,PE,1555948800,42,-16.45,-71.58,66.2,5.82
270,Hofn,100,IS,1555949665,86,64.25,-15.21,32.63,4.29
271,Camocim,52,BR,1555949665,82,-2.9,-40.84,84.11,7.29
272,Dakar,0,SN,1555947000,42,14.69,-17.45,80.6,18.34
273,Baicheng,67,CN,1555949665,41,45.61,122.87,65.93,10.54
274,Sioux Lookout,75,CA,1555945200,55,50.1,-91.92,48.2,3.36
275,Itoman,75,JP,1555949593,83,26.12,127.67,75.2,11.41
276,Calella,75,ES,1555949644,62,41.62,2.67,64.99,17.22
277,Mago,0,RU,1555949666,88,53.27,140.15,23.81,3.11
278,Bam,0,IR,1555949666,40,29.11,58.36,63.95,14.0
279,Senanga,100,ZM,1555949667,42,-16.1,23.3,82.67,2.35
280,Vestmanna,100,FO,1555948200,87,62.16,-7.17,50.0,12.75
281,Minab,0,IR,1555947000,58,27.15,57.07,86.0,6.93
282,Vostok,78,RU,1555949667,35,46.45,135.83,38.03,5.3
283,Sinegorskiy,0,RU,1555949667,39,48.01,40.84,56.57,6.64
284,Petrovsk-Zabaykalskiy,0,RU,1555949668,53,51.27,108.84,24.89,5.7
285,Hami,99,CN,1555949668,25,42.84,93.51,73.13,16.33
286,Lazaro Cardenas,90,MX,1555949616,27,28.39,-105.62,68.0,3.36
287,Pandegelang,40,ID,1555949594,70,-6.31,106.11,86.0,9.17
288,Coquimbo,0,CL,1555945200,63,-29.95,-71.34,62.6,4.7
289,Kieta,100,PG,1555949669,74,-6.22,155.63,82.67,3.56
290,Mount Gambier,0,AU,1555945200,93,-37.83,140.78,41.0,3.49
291,Sidrolandia,75,BR,1555948800,78,-20.93,-54.96,75.2,12.75
292,San Patricio,94,PY,1555949669,82,-26.98,-56.83,71.33,7.54
293,Gobabis,95,NA,1555949670,23,-22.45,18.97,81.95,15.03
294,Nizhniy Kuranakh,61,RU,1555949670,90,58.84,125.49,22.73,2.37
295,Gilbues,31,BR,1555949650,59,-9.83,-45.34,85.55,7.92
296,Puerto Cabezas,75,NI,1555945200,70,14.04,-83.39,84.2,4.7
297,Akureyri,75,IS,1555948800,65,65.68,-18.09,41.0,8.05
298,Batagay-Alyta,92,RU,1555949534,69,67.8,130.41,4.73,3.69
299,Chokurdakh,100,RU,1555949670,95,70.62,147.9,23.81,8.93
300,Araouane,0,ML,1555949671,10,18.9,-3.53,94.91,7.92
301,Lavrentiya,98,RU,1555949671,94,65.58,-170.99,4.37,16.06
302,Ostrowiec Swietokrzyski,6,PL,1555949492,23,50.93,21.39,63.0,10.0
303,Provideniya,32,RU,1555949671,91,64.42,-173.23,3.29,8.84
304,San Quintin,0,PH,1555949671,76,17.54,120.52,81.41,3.69
305,Cam Ranh,20,VN,1555947000,74,11.92,109.15,86.0,2.24
306,Bachaquero,83,VE,1555949672,66,9.96,-71.12,81.95,2.48
307,Namibe,29,AO,1555949672,82,-15.19,12.15,72.95,10.51
308,Faya,20,SA,1555945200,68,18.39,42.45,73.4,10.29
309,Buala,100,SB,1555949672,79,-8.15,159.59,82.67,7.36
310,La Paz,75,MX,1555948860,72,24.15,-110.32,80.01,11.41
311,El Jicaro,7,GT,1555949673,46,14.91,-89.89,78.71,1.81
312,Trebukhiv,0,UA,1555949524,18,50.48,30.9,62.6,2.24
313,Karratha,100,AU,1555949673,35,-20.74,116.85,80.51,4.52
314,Inuvik,20,CA,1555945200,78,68.36,-133.71,14.0,3.36
315,Kalemie,99,CD,1555949674,71,-5.95,29.2,76.37,3.8
316,Seymchan,58,RU,1555949674,80,62.93,152.39,20.75,3.76
317,Guerrero,90,AR,1555945200,100,-24.19,-65.45,62.6,9.17
318,Robertsport,100,LR,1555949674,62,6.75,-11.37,89.51,6.82
319,Walcz,0,PL,1555949656,43,53.28,16.47,63.0,14.34
320,Makasar,40,ID,1555949636,70,-6.28,106.88,86.0,9.17
321,Borger,73,NL,1555949553,27,52.92,6.79,73.99,13.87
322,Lompoc,90,US,1555949651,100,34.64,-120.46,63.0,12.75
323,Vryburg,100,ZA,1555949675,67,-26.96,24.73,66.83,16.37
324,Burnie,33,AU,1555949592,88,-41.05,145.91,48.0,3.0
325,Port Hardy,90,CA,1555947300,93,50.7,-127.42,46.4,14.99
326,Orotukan,84,RU,1555949676,81,62.26,151.67,20.57,6.8
327,Bacolod,28,PH,1555949676,65,10.68,122.95,83.39,11.68
328,Shaunavon,0,CA,1555949676,33,49.65,-108.41,51.71,18.77
329,Mayo,75,CA,1555945200,51,63.59,-135.9,39.2,9.17
330,Intipuca,0,SV,1555944600,43,13.2,-88.05,89.6,4.7
331,Kungurtug,0,RU,1555949677,39,50.6,97.53,23.27,3.04
332,Cockburn Town,0,TC,1555949409,77,21.46,-71.14,78.71,12.55
333,Petropavlovsk-Kamchatskiy,75,RU,1555945200,80,53.05,158.65,35.6,8.95
334,Puerto Escondido,5,MX,1555944180,54,15.86,-97.07,84.2,4.12
335,Port Hedland,100,AU,1555947000,73,-20.31,118.58,69.8,5.82
336,Aracati,92,BR,1555949677,59,-4.56,-37.77,87.89,7.34
337,Varberg,0,SE,1555949650,48,57.11,12.25,68.0,11.41
338,Charters Towers,0,AU,1555949678,87,-20.07,146.27,71.15,9.26
339,Hidalgo,75,US,1555949510,65,26.1,-98.26,79.0,17.22
340,Nizhnevartovsk,90,RU,1555947000,89,60.93,76.58,39.2,6.71
341,Nampula,20,MZ,1555945200,54,-15.12,39.26,80.6,5.82
342,Byron Bay,40,AU,1555949426,93,-28.65,153.62,69.8,4.0
343,Khanpur,0,PK,1555949679,12,28.65,70.66,101.57,7.85
344,Peniche,20,PT,1555949489,72,39.36,-9.38,62.01,10.29
345,Hambantota,75,LK,1555945800,100,6.12,81.12,75.2,3.36
346,Mindelo,75,PT,1555949545,87,41.31,-8.72,62.01,14.99
347,Male,66,UA,1555949679,38,50.74,33.7,59.45,5.37
348,Parnu-Jaagupi,0,EE,1555949585,21,58.61,24.51,64.0,8.99
349,Yeppoon,40,AU,1555947000,83,-23.13,150.74,69.8,6.93
350,Luau,100,CD,1555949680,89,-10.7,22.23,73.31,2.08
351,Mildura,90,AU,1555948901,36,-34.18,142.16,64.4,6.93
352,Saint-Louis,0,CH,1555949456,36,47.59,7.56,78.01,6.93
353,Teguldet,18,RU,1555949680,86,57.31,88.17,28.13,4.74
354,Lasa,0,CY,1555948862,42,34.92,32.53,64.4,17.22
355,Tres Arroyos,0,AR,1555949681,45,-38.38,-60.28,64.13,5.37
356,Yulara,0,AU,1555945200,38,-25.24,130.99,59.0,8.05
357,Broome,14,GB,1555949663,45,52.47,1.45,75.2,10.29
358,Oistins,40,BB,1555945200,58,13.07,-59.53,84.2,18.34
359,Worland,90,US,1555949510,87,44.02,-107.96,45.0,5.55
360,Hovd,0,NO,1555949405,30,63.83,10.7,71.6,14.99
361,Lomovka,75,RU,1555947000,34,53.92,58.37,48.2,2.24
362,Saint-Leu,75,RE,1555949149,78,-21.15,55.28,82.4,6.93
363,Taguatinga,40,BR,1555948914,61,-15.83,-48.06,82.99,4.7
364,Katsuura,20,JP,1555949285,59,33.93,134.5,62.6,8.05
365,Yartsevo,37,RU,1555949682,30,55.07,32.69,61.97,4.25
366,Kelsterbach,0,DE,1555949406,17,50.07,8.53,77.0,19.46
367,Grand Forks,54,US,1555948857,62,47.91,-97.06,55.0,6.93
368,Sabya,72,YE,1555949683,60,16.19,43.1,85.01,9.17
369,Takoradi,68,GH,1555949683,51,4.89,-1.75,92.21,7.45
370,Manokwari,79,ID,1555949683,80,-0.87,134.08,75.11,3.96
371,Navahrudak,0,BY,1555949683,41,53.59,25.82,59.27,10.6
372,Port Keats,0,AU,1555949435,44,-14.25,129.55,85.55,11.88
